"","scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"11","Mertensia virginica","2022-04-25 10:08:38 -0400","Pink!","Cedar Island, Glen Echo, MD, US",38.9655133333,-77.1418138333,"","Virginia bluebells","https://www.inaturalist.org/observations/112918707","https://inaturalist-open-data.s3.amazonaws.com/photos/190769942/medium.jpg","actuallyaxley",112918707,"Virginia bluebells","Plantae",59771,1,0,"Mon Apr 25 2022 10:08:38 GMT-0400 (EDT)","2022-04-25","2022-04-25 14:08:38 UTC","Eastern Time (US & Canada)",22,22,"","","false","","",1954345,"2022-04-26 01:52:37 UTC","2022-04-26 02:50:39 UTC","research","CC-BY",NA,3,"false"
"12","Mertensia virginica","2022-04-25 10:54:00 -0500","","St. Louis, Missouri, United States",38.5694,-90.6702416667,"","Virginia bluebells","https://www.inaturalist.org/observations/112915328","https://inaturalist-open-data.s3.amazonaws.com/photos/190763932/medium.jpeg","mo_monocots",112915328,"Virginia bluebells","Plantae",59771,2,0,"2022/04/25 10:54 AM","2022-04-25","2022-04-25 15:54:00 UTC","Central Time (US & Canada)",4,4,"","","false","","",5463204,"2022-04-26 01:21:52 UTC","2022-04-26 06:01:28 UTC","research","CC-BY-NC",NA,NA,"false"
"13","Mertensia virginica","2022-04-24 17:05:47 -0500","","Wooded Island",41.7831805579,-87.5822165608,"","Virginia bluebells","https://www.inaturalist.org/observations/112913881","https://inaturalist-open-data.s3.amazonaws.com/photos/190761684/medium.jpeg","exidia",112913881,"Virginia bluebells","Plantae",59771,1,0,"2022-04-24 17:05:47","2022-04-24","2022-04-24 22:05:47 UTC","Central Time (US & Canada)",481,481,"","","false","gps","gps",4667778,"2022-04-26 01:06:20 UTC","2022-04-26 01:12:15 UTC","research","CC-BY-NC",NA,2,"false"
"14","Mertensia virginica","2022-04-25 17:49:31 -0400","","Beallsville, OH, US",39.876445,-81.0326305,"","Virginia bluebells","https://www.inaturalist.org/observations/112911803","https://inaturalist-open-data.s3.amazonaws.com/photos/190757709/medium.jpg","zgraham1994",112911803,"Virginia bluebells","Plantae",59771,1,0,"2022-04-25 17:49:31-04:00","2022-04-25","2022-04-25 21:49:31 UTC","Eastern Time (US & Canada)",6,6,"","","false","","",1566635,"2022-04-26 00:47:54 UTC","2022-04-26 00:57:40 UTC","research","CC-BY-NC",NA,3,"false"
"15","Mertensia virginica","2022-04-25 11:04:32 -0500","A number of white-flowering plants in this group","Matthiessen State Park, Oglesby, IL, US",41.2990116667,-89.0244445,"","Virginia bluebells","https://www.inaturalist.org/observations/112906839","https://static.inaturalist.org/photos/190747462/medium.jpg","mmasell",112906839,"Virginia bluebells","Plantae",59771,1,0,"2022-04-25 11:04:32-05:00","2022-04-25","2022-04-25 16:04:32 UTC","Central Time (US & Canada)",5,5,"","","false","","",592772,"2022-04-25 23:57:51 UTC","2022-04-25 23:58:20 UTC","research","",NA,3,"false"
"16","Mertensia lanceolata","2022-04-25 17:44:59 -0600","","Boulder County, US-CO, US",39.9535454804,-105.2799227016,"","Prairie Bluebells","https://www.inaturalist.org/observations/112906652","https://static.inaturalist.org/photos/190747168/medium.jpg","kristine203",112906652,"Prairie Bluebells","Plantae",165348,1,0,"2022-04-25 17:44:59-06:00","2022-04-25","2022-04-25 23:44:59 UTC","Mountain Time (US & Canada)",4,4,"","","false","","",5487910,"2022-04-25 23:56:13 UTC","2022-04-26 13:00:11 UTC","research","",NA,3,"false"
"17","Mertensia virginica","2022-04-25 09:49:07 -0400","","Central Park, New York, NY, US",40.7756366667,-73.96972,"","Virginia bluebells","https://www.inaturalist.org/observations/112903956","https://static.inaturalist.org/photos/190742272/medium.jpg","lkhertzog",112903956,"Virginia bluebells","Plantae",59771,1,0,"2022-04-25 09:49:07-04:00","2022-04-25","2022-04-25 13:49:07 UTC","Eastern Time (US & Canada)",5,5,"","","false","","",1258414,"2022-04-25 23:30:41 UTC","2022-04-25 23:58:21 UTC","research","",NA,3,"false"
"18","Mertensia virginica","2022-04-18 15:00:00 -0400","","Rutgers University - New Brunswick, New Brunswick, NJ, US",40.4748406691,-74.4200553894,"","Virginia bluebells","https://www.inaturalist.org/observations/112903705","https://inaturalist-open-data.s3.amazonaws.com/photos/190741727/medium.jpg","kade82",112903705,"Virginia bluebells","Plantae",59771,2,0,"2022-04-18 19:00:00Z","2022-04-18","2022-04-18 19:00:00 UTC","Eastern Time (US & Canada)",312,312,"","","false","","",5438725,"2022-04-25 23:28:29 UTC","2022-04-26 00:34:32 UTC","research","CC-BY-NC",NA,3,"false"
"19","Mertensia virginica","2022-04-25 18:06:00 -0400","","North Avondale, Cincinnati, OH, USA",39.1540466667,-84.4990916667,"","Virginia bluebells","https://www.inaturalist.org/observations/112899398","https://inaturalist-open-data.s3.amazonaws.com/photos/190732906/medium.jpeg","kemper",112899398,"Virginia bluebells","Plantae",59771,1,0,"2022/04/25 6:06 PM","2022-04-25","2022-04-25 22:06:00 UTC","Eastern Time (US & Canada)",NA,NA,"","","false","","",517807,"2022-04-25 22:47:12 UTC","2022-04-25 23:11:04 UTC","research","CC0",NA,NA,"false"
"20","Mertensia virginica","2022-04-25 09:28:07 -0400","","Rocky River, Brook Park, OH, US",41.41802,-81.87168,"","Virginia bluebells","https://www.inaturalist.org/observations/112898916","https://inaturalist-open-data.s3.amazonaws.com/photos/190732699/medium.jpg","abragg15",112898916,"Virginia bluebells","Plantae",59771,1,0,"2022-04-25 09:28:07-04:00","2022-04-25","2022-04-25 13:28:07 UTC","Eastern Time (US & Canada)",20,20,"","","false","","",4348781,"2022-04-25 22:42:39 UTC","2022-04-25 23:58:22 UTC","research","CC-BY-NC",NA,3,"false"
